address,original_name,role,current_surface,status,evidence,next_action
0x0043e3b0,FUN_0043e3b0,graze-collision,Player::CheckGraze,comparable,reference/ghidra/decomp/functions/0043e3b0_FUN_0043e3b0.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,replace mode-state gate and ScoreGraze side effects after mode runtime is live
0x0043e4e0,FUN_0043e4e0,item-box-collision,Player::CalcItemBoxCollision,behavior-matched,reference/ghidra/decomp/functions/0043e4e0_FUN_0043e4e0.c;src/PlayerLayout.hpp;tests/test_player_layout.cpp,continue local objdiff shape convergence without changing proven AABB semantics
0x0043e6b0,FUN_0043e6b0,laser-hitbox,Player::CalcLaserHitbox,comparable,reference/ghidra/decomp/functions/0043e6b0_FUN_0043e6b0.c;src/Player.cpp,replace laser rotation collision and graze branch side effects
0x0043eb90,FUN_0043eb90,score-graze,Player::ScoreGraze,comparable,reference/ghidra/decomp/functions/0043eb90_FUN_0043eb90.c;src/Player.cpp,restore TH07 graze scoring cherry and effect color branches
0x0043edc0,FUN_0043edc0,player-death,Player::Die,comparable,reference/ghidra/decomp/functions/0043edc0_FUN_0043edc0.c;src/Player.cpp,restore TH07 death effect mode-state and sound side effects
0x0043ee50,FUN_0043ee50,movement-input,Player::HandlePlayerInputs,comparable,reference/ghidra/decomp/functions/0043ee50_FUN_0043ee50.c;src/Player.cpp;src/PlayerLayout.hpp,finish option state transitions and shot dispatch tail
0x00440940,FUN_00440940,bomb-collision-update,Player::UpdateBombCollisionSlots,comparable,reference/ghidra/decomp/functions/00440940_FUN_00440940.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,wire per-frame slot update when original bomb producers are active
0x004409f0,FUN_004409f0,bomb-update-dispatch,unmapped,unmapped,reference/ghidra/decomp/functions/004409f0_FUN_004409f0.c,map bomb start input gates and score drain dispatch
0x00440cf0,FUN_00440cf0,mode2-respawn,unmapped,unmapped,reference/ghidra/decomp/functions/00440cf0_FUN_00440cf0.c,map death respawn and invulnerability owner fields
0x004411c0,FUN_004411c0,mode1-invulnerable,Player::UpdateMode1Invulnerable,comparable,reference/ghidra/decomp/functions/004411c0_FUN_004411c0.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,identify DAT_00575948 owner and mode-dispatch callsite before live wiring
0x00441330,FUN_00441330,mode-update-branch,PlayerBombTables contracts,mapped,reference/ghidra/decomp/functions/00441330_FUN_00441330.c;src/PlayerBombTables.cpp,replace live mode update branch after effect pointer ownership is proven
0x00441670,FUN_00441670,mode-cleanup,PlayerBombTables contracts,mapped,reference/ghidra/decomp/functions/00441670_FUN_00441670.c;src/PlayerBombTables.cpp,wire cleanup when mode transition effect lifetimes are exact
0x00441800,FUN_00441800,bomb-collision-register-rect,Player::RegisterBombCollisionRect,comparable,reference/ghidra/decomp/functions/00441800_FUN_00441800.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,replace bomb register callers with original slot allocation contract
0x004418b0,FUN_004418b0,bomb-collision-register-circle,Player::RegisterBombCollisionCircle,comparable,reference/ghidra/decomp/functions/004418b0_FUN_004418b0.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,replace bomb register callers with original radius growth contract
0x00441960,FUN_00441960,mode4-enter,PlayerBombTables contracts,mapped,reference/ghidra/decomp/functions/00441960_FUN_00441960.c;src/PlayerBombTables.cpp,wire border mode entry with active effect pointers and stage color
0x00441bd0,FUN_00441bd0,mode3-enter,PlayerBombTables contracts,mapped,reference/ghidra/decomp/functions/00441bd0_FUN_00441bd0.c;src/PlayerBombTables.cpp,wire mode3 entry with common effect duration and color state
0x00441e80,FUN_00441e80,option-field-reset,Player::ResetOptionFields,comparable,reference/ghidra/decomp/functions/00441e80_FUN_00441e80.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,identify 013542ec/0134d476 ownership before live wiring
0x00441fb0,FUN_00441fb0,update-callback,Player::OnUpdate,comparable,reference/ghidra/decomp/functions/00441fb0_FUN_00441fb0.c;src/Player.cpp,replace top-level update ordering with TH07 chain callback
0x004420b0,FUN_004420b0,draw-high-callback,Player::OnDrawHighPrio,comparable,reference/ghidra/decomp/functions/004420b0_FUN_004420b0.c;src/Player.cpp,replace draw high ordering and original ANM VM draw state
0x00442350,FUN_00442350,draw-low-callback,Player::OnDrawLowPrio,comparable,reference/ghidra/decomp/functions/00442350_FUN_00442350.c;src/Player.cpp,keep wrapper aligned with collided shot draw helper
0x00442370,FUN_00442370,angle-from-player,Player::AngleFromPlayer,comparable,reference/ghidra/decomp/functions/00442370_FUN_00442370.c;src/Player.cpp,replace math helper with exact TH07 angle routine once x87 helper is matched
0x004423e0,FUN_004423e0,init-callback,Player::AddedCallback,comparable,reference/ghidra/decomp/functions/004423e0_FUN_004423e0.c;src/Player.cpp;src/Th07PlayerShotTables.hpp,replace allocation order SHT loads and VM setup
0x004428e0,FUN_004428e0,deleted-callback,Player::DeletedCallback,comparable,reference/ghidra/decomp/functions/004428e0_FUN_004428e0.c;src/Player.cpp,restore ANM release guard and SHT pointer frees
0x004429d0,FUN_004429d0,mode4-stage-color,ComputePlayerMode4StageColor,comparable,reference/ghidra/decomp/functions/004429d0_FUN_004429d0.c;src/PlayerBombTables.cpp;tests/test_sht_parser.cpp,continue objdiff convergence while preserving tested color ramp
